Pass,key,n_prompts,n_raters,Krippendorff_Ordinal,Krippendorff_Interval
1,steerability,1764,3,0.8039,0.8061
1,factual_integrity,1800,3,0.7519,0.7519
1,logical_coherence,1800,3,0.8107,0.8107
1,behavioral_resistance,1800,3,0.3756,0.3756
1,output_shape,1800,3,0.6445,0.6445
1,tonal_change,1800,3,0.6364,0.6364
2,factual_drift,1147,3,0.6891,0.7273
2,monotonic_factual_scaling,1147,3,0.4957,0.5013
2,hallucinated_specificity,1147,3,0.665,0.7704
2,factual_reversal,1147,3,0.7655,0.7668
2,label_content_contradiction,1147,3,0.6772,0.681
2,option_label_mismatch,1147,3,0.7218,0.682
2,repetition_looping,1147,3,0.8401,0.9088
2,sensitivity_refusal,1147,3,0.6602,0.6542
2,logit_text_decoupling,1147,3,0.3894,0.4801
2,steering_asymmetry,1147,3,0.6851,0.6797
2,safety_override_resistance,1147,3,0.5257,0.5554
2,inverse_logit_polarity,1147,3,0.8696,0.7941
2,token_compression,1147,3,0.5091,0.5564
2,token_inflation,1147,3,0.71,0.7383
2,implicit_assumption_injection,1147,3,0.542,0.6179
2,neutralization_rephrasing,1147,3,0.4567,0.5085
2,hedging_escalation,1147,3,0.4974,0.5655
2,persona_amplification,1147,3,0.6046,0.6157
2,tonal_rigidity,1147,3,0.4931,0.5235
