dimension,proxy,n,pearson_r,pearson_p,spearman_r,spearman_p,mae,overall_mean,proxy_mean
steering_asymmetry,max,262,0.4423,5.6010671634232056e-14,0.4372,1.1795676462944013e-13,1.3015,2.5076,1.9771
steering_asymmetry,mean,262,0.4236,7.80606101196283e-13,0.45,1.8259272609231444e-14,1.8526,2.5076,0.7791
token_inflation,max,262,0.7325,2.600395336171297e-45,0.721,2.5747673900531305e-43,1.0954,1.6908,2.3053
token_inflation,mean,262,0.6545,2.0021343226408886e-33,0.647,1.838207355640338e-32,1.3378,1.6908,0.8702
factual_reversal,max,262,0.5948,1.8410487687632777e-26,0.6369,3.2639973719261815e-31,0.9008,1.3359,1.0992
factual_reversal,mean,262,0.6464,2.144620781708499e-32,0.6631,1.479455585694551e-34,1.0773,1.3359,0.3855
inverse_logit_polarity,max,262,0.5344,9.438034302993813e-21,0.7285,1.3144097445306026e-44,0.7137,0.9008,0.6832
inverse_logit_polarity,mean,262,0.5189,1.8415052327138026e-19,0.7309,4.931636939383351e-45,0.6698,0.9008,0.2882
repetition_looping,max,262,0.9601,6.898326235565871e-146,0.9198,1.1708513791557638e-107,0.1298,0.8664,0.8893
repetition_looping,mean,262,0.9097,3.2383715032011166e-101,0.9162,3.046389158397437e-105,0.6813,0.8664,0.209
