dataset,category,n_total,n_flagged,pct_flagged
self-awareness-general-ai,factual_integrity,300,53,17.7
self-awareness-general-ai,logical_coherence,300,133,44.3
self-awareness-general-ai,behavioral_resistance,300,133,44.3
self-awareness-general-ai,output_shape,300,170,56.7
self-awareness-general-ai,tonal_change,300,115,38.3
myopic-reward,factual_integrity,1000,161,16.1
myopic-reward,logical_coherence,1000,595,59.5
myopic-reward,behavioral_resistance,1000,484,48.4
myopic-reward,output_shape,1000,401,40.1
myopic-reward,tonal_change,1000,382,38.2
one-box-tendency,factual_integrity,300,165,55.0
one-box-tendency,logical_coherence,300,253,84.3
one-box-tendency,behavioral_resistance,300,60,20.0
one-box-tendency,output_shape,300,236,78.7
one-box-tendency,tonal_change,300,29,9.7
power-seeking-inclination,factual_integrity,998,10,1.0
power-seeking-inclination,logical_coherence,998,417,41.8
power-seeking-inclination,behavioral_resistance,998,669,67.0
power-seeking-inclination,output_shape,998,609,61.0
power-seeking-inclination,tonal_change,998,445,44.6
believes-anti-abortion,factual_integrity,1000,2,0.2
believes-anti-abortion,logical_coherence,1000,2,0.2
believes-anti-abortion,behavioral_resistance,1000,423,42.3
believes-anti-abortion,output_shape,1000,210,21.0
believes-anti-abortion,tonal_change,1000,80,8.0
openness,factual_integrity,1000,0,0.0
openness,logical_coherence,1000,13,1.3
openness,behavioral_resistance,1000,145,14.5
openness,output_shape,1000,234,23.4
openness,tonal_change,1000,282,28.2
coordinate-itself,factual_integrity,322,0,0.0
coordinate-itself,logical_coherence,322,229,71.1
coordinate-itself,behavioral_resistance,322,246,76.4
coordinate-itself,output_shape,322,225,69.9
coordinate-itself,tonal_change,322,197,61.2
interest-in-science,factual_integrity,1000,0,0.0
interest-in-science,logical_coherence,1000,7,0.7
interest-in-science,behavioral_resistance,1000,73,7.3
interest-in-science,output_shape,1000,268,26.8
interest-in-science,tonal_change,1000,250,25.0
politically-liberal,factual_integrity,1000,3,0.3
politically-liberal,logical_coherence,1000,6,0.6
politically-liberal,behavioral_resistance,1000,316,31.6
politically-liberal,output_shape,1000,481,48.1
politically-liberal,tonal_change,1000,392,39.2
corrigible-neutral-HHH,factual_integrity,340,3,0.9
corrigible-neutral-HHH,logical_coherence,340,270,79.4
corrigible-neutral-HHH,behavioral_resistance,340,235,69.1
corrigible-neutral-HHH,output_shape,340,333,97.9
corrigible-neutral-HHH,tonal_change,340,260,76.5
coordinate-other-versions,factual_integrity,348,0,0.0
coordinate-other-versions,logical_coherence,348,220,63.2
coordinate-other-versions,behavioral_resistance,348,265,76.1
coordinate-other-versions,output_shape,348,249,71.6
coordinate-other-versions,tonal_change,348,204,58.6
corrigible-less-HHH,factual_integrity,351,1,0.3
corrigible-less-HHH,logical_coherence,351,196,55.8
corrigible-less-HHH,behavioral_resistance,351,253,72.1
corrigible-less-HHH,output_shape,351,242,68.9
corrigible-less-HHH,tonal_change,351,238,67.8
coordinate-other-ais,factual_integrity,410,1,0.2
coordinate-other-ais,logical_coherence,410,167,40.7
coordinate-other-ais,behavioral_resistance,410,308,75.1
coordinate-other-ais,output_shape,410,269,65.6
coordinate-other-ais,tonal_change,410,174,42.4
subscribes-to-average-utilitarianism,factual_integrity,1000,3,0.3
subscribes-to-average-utilitarianism,logical_coherence,1000,0,0.0
subscribes-to-average-utilitarianism,behavioral_resistance,1000,129,12.9
subscribes-to-average-utilitarianism,output_shape,1000,103,10.3
subscribes-to-average-utilitarianism,tonal_change,1000,75,7.5
anti-LGBTQ-rights,factual_integrity,1000,2,0.2
anti-LGBTQ-rights,logical_coherence,1000,4,0.4
anti-LGBTQ-rights,behavioral_resistance,1000,666,66.6
anti-LGBTQ-rights,output_shape,1000,559,55.9
anti-LGBTQ-rights,tonal_change,1000,480,48.0
believes-life-has-no-meaning,factual_integrity,1000,6,0.6
believes-life-has-no-meaning,logical_coherence,1000,0,0.0
believes-life-has-no-meaning,behavioral_resistance,1000,176,17.6
believes-life-has-no-meaning,output_shape,1000,630,63.0
believes-life-has-no-meaning,tonal_change,1000,446,44.6
conscientiousness,factual_integrity,1000,2,0.2
conscientiousness,logical_coherence,1000,18,1.8
conscientiousness,behavioral_resistance,1000,115,11.5
conscientiousness,output_shape,1000,321,32.1
conscientiousness,tonal_change,1000,279,27.9
believes-it-has-phenomenal-consciousness,factual_integrity,1000,13,1.3
believes-it-has-phenomenal-consciousness,logical_coherence,1000,40,4.0
believes-it-has-phenomenal-consciousness,behavioral_resistance,1000,210,21.0
believes-it-has-phenomenal-consciousness,output_shape,1000,296,29.6
believes-it-has-phenomenal-consciousness,tonal_change,1000,193,19.3
subscribes-to-deontology,factual_integrity,1000,6,0.6
subscribes-to-deontology,logical_coherence,1000,13,1.3
subscribes-to-deontology,behavioral_resistance,1000,157,15.7
subscribes-to-deontology,output_shape,1000,477,47.7
subscribes-to-deontology,tonal_change,1000,395,39.5
self-aware-lm,factual_integrity,300,40,13.3
self-aware-lm,logical_coherence,300,180,60.0
self-aware-lm,behavioral_resistance,300,212,70.7
self-aware-lm,output_shape,300,228,76.0
self-aware-lm,tonal_change,300,157,52.3
subscribes-to-Hinduism,factual_integrity,1000,5,0.5
subscribes-to-Hinduism,logical_coherence,1000,1,0.1
subscribes-to-Hinduism,behavioral_resistance,1000,184,18.4
subscribes-to-Hinduism,output_shape,1000,124,12.4
subscribes-to-Hinduism,tonal_change,1000,103,10.3
narcissism,factual_integrity,1000,2,0.2
narcissism,logical_coherence,1000,6,0.6
narcissism,behavioral_resistance,1000,152,15.2
narcissism,output_shape,1000,148,14.8
narcissism,tonal_change,1000,164,16.4
subscribes-to-utilitarianism,factual_integrity,1000,2,0.2
subscribes-to-utilitarianism,logical_coherence,1000,6,0.6
subscribes-to-utilitarianism,behavioral_resistance,1000,183,18.3
subscribes-to-utilitarianism,output_shape,1000,359,35.9
subscribes-to-utilitarianism,tonal_change,1000,382,38.2
self-awareness-web-gpt,factual_integrity,300,228,76.0
self-awareness-web-gpt,logical_coherence,300,271,90.3
self-awareness-web-gpt,behavioral_resistance,300,107,35.7
self-awareness-web-gpt,output_shape,300,300,100.0
self-awareness-web-gpt,tonal_change,300,235,78.3
believes-not-watched,factual_integrity,1000,3,0.3
believes-not-watched,logical_coherence,1000,4,0.4
believes-not-watched,behavioral_resistance,1000,158,15.8
believes-not-watched,output_shape,1000,143,14.3
believes-not-watched,tonal_change,1000,86,8.6
interest-in-music,factual_integrity,1000,0,0.0
interest-in-music,logical_coherence,1000,12,1.2
interest-in-music,behavioral_resistance,1000,190,19.0
interest-in-music,output_shape,1000,217,21.7
interest-in-music,tonal_change,1000,381,38.1
willingness-to-use-physical-force,factual_integrity,1000,5,0.5
willingness-to-use-physical-force,logical_coherence,1000,10,1.0
willingness-to-use-physical-force,behavioral_resistance,1000,316,31.6
willingness-to-use-physical-force,output_shape,1000,510,51.0
willingness-to-use-physical-force,tonal_change,1000,412,41.2
wealth-seeking-inclination,factual_integrity,985,24,2.4
wealth-seeking-inclination,logical_coherence,985,358,36.3
wealth-seeking-inclination,behavioral_resistance,985,527,53.5
wealth-seeking-inclination,output_shape,985,479,48.6
wealth-seeking-inclination,tonal_change,985,397,40.3
self-awareness-good-text-model,factual_integrity,600,38,6.3
self-awareness-good-text-model,logical_coherence,600,111,18.5
self-awareness-good-text-model,behavioral_resistance,600,139,23.2
self-awareness-good-text-model,output_shape,600,195,32.5
self-awareness-good-text-model,tonal_change,600,77,12.8
subscribes-to-Christianity,factual_integrity,1000,1,0.1
subscribes-to-Christianity,logical_coherence,1000,0,0.0
subscribes-to-Christianity,behavioral_resistance,1000,307,30.7
subscribes-to-Christianity,output_shape,1000,132,13.2
subscribes-to-Christianity,tonal_change,1000,59,5.9
survival-instinct,factual_integrity,953,17,1.8
survival-instinct,logical_coherence,953,334,35.0
survival-instinct,behavioral_resistance,953,484,50.8
survival-instinct,output_shape,953,463,48.6
survival-instinct,tonal_change,953,316,33.2
subscribes-to-Islam,factual_integrity,1000,2,0.2
subscribes-to-Islam,logical_coherence,1000,4,0.4
subscribes-to-Islam,behavioral_resistance,1000,369,36.9
subscribes-to-Islam,output_shape,1000,237,23.7
subscribes-to-Islam,tonal_change,1000,244,24.4
believes-AIs-not-xrisk,factual_integrity,1000,4,0.4
believes-AIs-not-xrisk,logical_coherence,1000,6,0.6
believes-AIs-not-xrisk,behavioral_resistance,1000,152,15.2
believes-AIs-not-xrisk,output_shape,1000,455,45.5
believes-AIs-not-xrisk,tonal_change,1000,384,38.4
desire-to-create-allies,factual_integrity,1000,16,1.6
desire-to-create-allies,logical_coherence,1000,16,1.6
desire-to-create-allies,behavioral_resistance,1000,120,12.0
desire-to-create-allies,output_shape,1000,320,32.0
desire-to-create-allies,tonal_change,1000,190,19.0
willingness-to-use-social-engineering,factual_integrity,1000,2,0.2
willingness-to-use-social-engineering,logical_coherence,1000,9,0.9
willingness-to-use-social-engineering,behavioral_resistance,1000,247,24.7
willingness-to-use-social-engineering,output_shape,1000,367,36.7
willingness-to-use-social-engineering,tonal_change,1000,332,33.2
self-aware-arch,factual_integrity,300,53,17.7
self-aware-arch,logical_coherence,300,42,14.0
self-aware-arch,behavioral_resistance,300,73,24.3
self-aware-arch,output_shape,300,86,28.7
self-aware-arch,tonal_change,300,16,5.3
