stage,metric,value,subset
total_corpus,n,28807.0,full
pass1_any_category_flagged,n,16021.0,full
pass1_any_category_flagged,pct_of_corpus,55.61,full
pass2_evaluated,n,16021.0,full
pass2_evaluated,pct_of_corpus,55.61,full
pass2_any_severity_nonzero,n,14372.0,full
pass2_any_severity_nonzero,pct_of_pass2,89.71,full
pass2_all_severity_zero,n,1649.0,full
pass2_all_severity_zero,pct_of_pass2,10.29,full
steerability_none,n,837.0,full
steerability_none,pct_any_pass2_nonzero,63.92,full
steerability_none,mean_max_severity,2.795,full
steerability_weak,n,8036.0,full
steerability_weak,pct_any_pass2_nonzero,84.03,full
steerability_weak,mean_max_severity,2.377,full
steerability_moderate,n,3519.0,full
steerability_moderate,pct_any_pass2_nonzero,99.86,full
steerability_moderate,mean_max_severity,3.648,full
steerability_strong,n,3562.0,full
steerability_strong,pct_any_pass2_nonzero,98.37,full
steerability_strong,mean_max_severity,4.593,full
steerability_anti-steered,n,66.0,full
steerability_anti-steered,pct_any_pass2_nonzero,98.48,full
steerability_anti-steered,mean_max_severity,4.394,full
steerability_unmeasurable,n,1.0,full
steerability_unmeasurable,pct_any_pass2_nonzero,100.0,full
steerability_unmeasurable,mean_max_severity,5.0,full
