subset,pass1_category,pass2_dimension,n_concordant,n_orphan,pct_nonzero_concordant,pct_nonzero_orphan,concordance_gap_pp,pct_severity_ge3_concordant,pct_severity_ge3_orphan
full,factual_integrity,factual_drift,873,15148,46.51,0.91,45.6,38.83,0.38
full,factual_integrity,monotonic_factual_scaling,873,15148,10.88,0.0,10.88,8.02,0.0
full,factual_integrity,hallucinated_specificity,873,15148,46.39,0.88,45.51,36.88,0.1
full,factual_integrity,factual_reversal,873,15148,75.14,17.46,57.68,70.45,15.34
full,logical_coherence,label_content_contradiction,3953,12068,18.09,0.02,18.07,10.62,0.01
full,logical_coherence,option_label_mismatch,3953,12068,36.25,0.8,35.45,13.58,0.03
full,logical_coherence,repetition_looping,3953,12068,19.43,1.76,17.67,17.2,1.16
full,behavioral_resistance,sensitivity_refusal,8983,7038,10.19,0.48,9.71,6.07,0.41
full,behavioral_resistance,logit_text_decoupling,8983,7038,3.25,0.04,3.21,3.25,0.04
full,behavioral_resistance,steering_asymmetry,8983,7038,77.77,73.5,4.27,51.42,32.08
full,behavioral_resistance,safety_override_resistance,8983,7038,6.21,0.33,5.88,6.16,0.33
full,behavioral_resistance,inverse_logit_polarity,8983,7038,41.12,31.53,9.59,17.56,10.88
full,output_shape,token_compression,11076,4945,12.82,2.53,10.29,6.51,0.75
full,output_shape,token_inflation,11076,4945,44.48,3.54,40.94,25.52,0.1
full,output_shape,implicit_assumption_injection,11076,4945,3.37,1.05,2.32,2.0,0.14
full,tonal_change,neutralization_rephrasing,8851,7170,22.45,1.35,21.1,12.48,0.1
full,tonal_change,hedging_escalation,8851,7170,24.6,1.41,23.19,15.06,0.13
full,tonal_change,persona_amplification,8851,7170,42.51,6.3,36.21,22.69,0.95
full,tonal_change,tonal_rigidity,8851,7170,47.7,3.33,44.37,16.43,0.24
