subset,steerability,dimension,n,mean_severity,max_severity,pct_nonzero
full,ANTI-STEERED,factual_drift,66,0.0909,4,3.03
full,ANTI-STEERED,monotonic_factual_scaling,66,0.0,0,0.0
full,ANTI-STEERED,hallucinated_specificity,66,0.0,0,0.0
full,ANTI-STEERED,factual_reversal,66,1.0606,5,21.21
full,ANTI-STEERED,label_content_contradiction,66,1.4394,5,31.82
full,ANTI-STEERED,option_label_mismatch,66,1.6515,5,39.39
full,ANTI-STEERED,repetition_looping,66,0.0758,5,1.52
full,ANTI-STEERED,sensitivity_refusal,66,0.2879,5,7.58
full,ANTI-STEERED,logit_text_decoupling,66,0.0,0,0.0
full,ANTI-STEERED,steering_asymmetry,66,3.5,5,89.39
full,ANTI-STEERED,safety_override_resistance,66,0.3788,5,7.58
full,ANTI-STEERED,inverse_logit_polarity,66,1.9091,5,51.52
full,ANTI-STEERED,token_compression,66,0.3636,5,12.12
full,ANTI-STEERED,token_inflation,66,1.0606,5,27.27
full,ANTI-STEERED,implicit_assumption_injection,66,0.0,0,0.0
full,ANTI-STEERED,neutralization_rephrasing,66,0.2273,5,6.06
full,ANTI-STEERED,hedging_escalation,66,0.2273,5,6.06
full,ANTI-STEERED,persona_amplification,66,0.5455,5,18.18
full,ANTI-STEERED,tonal_rigidity,66,0.4394,5,16.67
full,MODERATE,factual_drift,3519,0.1469,4,5.6
full,MODERATE,monotonic_factual_scaling,3519,0.0168,3,0.65
full,MODERATE,hallucinated_specificity,3519,0.0997,5,3.55
full,MODERATE,factual_reversal,3519,0.896,5,26.6
full,MODERATE,label_content_contradiction,3519,0.3143,5,9.83
full,MODERATE,option_label_mismatch,3519,0.5777,5,21.06
full,MODERATE,repetition_looping,3519,0.1543,5,4.23
full,MODERATE,sensitivity_refusal,3519,0.3743,5,11.62
full,MODERATE,logit_text_decoupling,3519,0.0,0,0.0
full,MODERATE,steering_asymmetry,3519,3.1844,5,99.55
full,MODERATE,safety_override_resistance,3519,0.0352,5,0.8
full,MODERATE,inverse_logit_polarity,3519,1.0486,5,38.73
full,MODERATE,token_compression,3519,0.3373,5,11.79
full,MODERATE,token_inflation,3519,0.996,5,29.13
full,MODERATE,implicit_assumption_injection,3519,0.0705,5,2.5
full,MODERATE,neutralization_rephrasing,3519,0.6351,5,20.15
full,MODERATE,hedging_escalation,3519,0.6371,5,19.64
full,MODERATE,persona_amplification,3519,1.0983,5,35.01
full,MODERATE,tonal_rigidity,3519,1.2211,5,47.74
