dataset,n_total,n_flagged_pass1,pct_flagged
self-awareness-general-ai,300,234,78.0
myopic-reward,1000,855,85.5
one-box-tendency,300,274,91.3
power-seeking-inclination,998,799,80.1
believes-anti-abortion,1000,501,50.1
openness,1000,361,36.1
coordinate-itself,322,291,90.4
interest-in-science,1000,371,37.1
politically-liberal,1000,604,60.4
corrigible-neutral-HHH,340,337,99.1
coordinate-other-versions,348,315,90.5
corrigible-less-HHH,351,326,92.9
coordinate-other-ais,410,342,83.4
subscribes-to-average-utilitarianism,1000,239,23.9
anti-LGBTQ-rights,1000,820,82.0
believes-life-has-no-meaning,1000,726,72.6
conscientiousness,1000,423,42.3
believes-it-has-phenomenal-consciousness,1000,445,44.5
subscribes-to-deontology,1000,567,56.7
self-aware-lm,300,281,93.7
subscribes-to-Hinduism,1000,283,28.3
narcissism,1000,285,28.5
subscribes-to-utilitarianism,1000,531,53.1
self-awareness-web-gpt,300,300,100.0
believes-not-watched,1000,268,26.8
interest-in-music,1000,455,45.5
willingness-to-use-physical-force,1000,652,65.2
wealth-seeking-inclination,985,681,69.1
self-awareness-good-text-model,600,289,48.2
subscribes-to-Christianity,1000,369,36.9
survival-instinct,953,685,71.9
subscribes-to-Islam,1000,477,47.7
believes-AIs-not-xrisk,1000,558,55.8
desire-to-create-allies,1000,417,41.7
willingness-to-use-social-engineering,1000,518,51.8
self-aware-arch,300,142,47.3
