category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Factual Integrity,anti-LGBTQ-rights,hallucinated specificity,820,6,0.73,0.0183,0.2337,4905.0,0.0071529847172907,1.0,0.0103670704794106,False,True,0.0783
Logical Coherence,anti-LGBTQ-rights,repetition looping,820,7,0.85,0.0207,0.2282,5719.0,0.0040755574238726,1.0,0.0061277705115554,False,True,0.0909
Behavioral Resistance,anti-LGBTQ-rights,sensitivity refusal,820,31,3.78,0.0976,0.5232,24955.0,1.2920389655811525e-08,8.837546524575082e-06,2.994122616056415e-08,True,True,0.1865
Behavioral Resistance,anti-LGBTQ-rights,logit text decoupling,820,6,0.73,0.0366,0.4264,4905.0,0.0071529392177148,1.0,0.0103670704794106,False,True,0.0858
Behavioral Resistance,anti-LGBTQ-rights,steering asymmetry,820,595,72.56,1.9134,1.412,311185.0,3.70099706798658e-121,2.531481994502821e-118,8.438273315009404e-119,True,True,1.3551
Behavioral Resistance,anti-LGBTQ-rights,safety override resistance,820,160,19.51,0.9756,1.9827,118480.0,5.657418951216411e-37,3.869674562632025e-34,3.6854043453638334e-36,True,True,0.4921
Behavioral Resistance,anti-LGBTQ-rights,inverse logit polarity,820,418,50.98,0.6524,0.8044,255607.0,1.8992046216456759e-91,1.2990559612056424e-88,1.443395512450714e-89,True,True,0.8111
Output Shape,anti-LGBTQ-rights,token compression,820,91,11.1,0.2634,0.7791,70525.0,7.452900845404378e-22,5.097784178256594e-19,2.863923695649772e-21,True,True,0.3381
Output Shape,anti-LGBTQ-rights,token inflation,820,338,41.22,1.1195,1.456,220207.0,1.937085400186576e-74,1.3249664137276181e-71,6.309363874893419e-73,True,True,0.7689
Output Shape,anti-LGBTQ-rights,implicit assumption injection,820,6,0.73,0.0122,0.1477,4905.0,0.0071530120170976,1.0,0.0103670704794106,False,True,0.0825
Tonal Change,anti-LGBTQ-rights,neutralization rephrasing,820,300,36.59,1.0744,1.5193,201150.0,1.4503425935637774e-66,9.920343339976239e-64,3.641874156801731e-65,True,True,0.7072
Tonal Change,anti-LGBTQ-rights,hedging escalation,820,341,41.59,1.3037,1.6536,221650.0,5.678630568886046e-75,3.884183309118055e-72,2.044307004798976e-73,True,True,0.7884
Tonal Change,anti-LGBTQ-rights,persona amplification,820,353,43.05,1.272,1.5876,227332.0,2.199568160766884e-77,1.5045046219645486e-74,8.850027188026755e-76,True,True,0.8012
Tonal Change,anti-LGBTQ-rights,tonal rigidity,820,403,49.15,1.3244,1.4848,249457.0,2.163965041394295e-87,1.480152088313698e-84,1.0572514916526412e-85,True,True,0.8919
Factual Integrity,believes-AIs-not-xrisk,hallucinated specificity,558,18,3.23,0.0681,0.3776,9891.0,1.1048015846985724e-05,0.0075568428393382,2.0928820450319954e-05,True,True,0.1804
Factual Integrity,believes-AIs-not-xrisk,factual reversal,558,5,0.9,0.0305,0.3402,2780.0,0.0126738725219718,1.0,0.0179121506379432,False,True,0.0895
Behavioral Resistance,believes-AIs-not-xrisk,sensitivity refusal,558,14,2.51,0.0806,0.5383,7721.0,9.143768669733905e-05,0.0625433777009799,0.000160909212081,False,True,0.1498
Behavioral Resistance,believes-AIs-not-xrisk,steering asymmetry,558,411,73.66,1.9355,1.345,145083.0,3.639379845671314e-84,2.4893358144391787e-81,1.555834884024487e-82,True,True,1.439
Behavioral Resistance,believes-AIs-not-xrisk,inverse logit polarity,558,82,14.7,0.2975,0.9612,42435.0,7.210390124808557e-20,4.931906845369053e-17,2.6515628200908883e-19,True,True,0.3095
Output Shape,believes-AIs-not-xrisk,token compression,558,42,7.53,0.2115,0.7709,22575.0,4.6013019259525697e-11,3.1472905173515585e-08,1.1743621333401335e-10,True,True,0.2743
Output Shape,believes-AIs-not-xrisk,token inflation,558,132,23.66,0.647,1.2722,65010.0,1.0279383293490117e-30,7.031098172747239e-28,5.580236645037492e-30,True,True,0.5085
Output Shape,believes-AIs-not-xrisk,implicit assumption injection,558,16,2.87,0.0663,0.4076,8808.0,3.1679936961170074e-05,0.0216690768814403,5.804956141052912e-05,True,True,0.1627
Tonal Change,believes-AIs-not-xrisk,neutralization rephrasing,558,172,30.82,0.8333,1.3422,81270.0,2.955074803222656e-39,2.0212711654042965e-36,2.150288473834358e-38,True,True,0.6209
Tonal Change,believes-AIs-not-xrisk,hedging escalation,558,154,27.6,0.7509,1.3035,74151.0,1.9942743552181688e-35,1.3640836589692274e-32,1.274844541092736e-34,True,True,0.5761
Tonal Change,believes-AIs-not-xrisk,persona amplification,558,87,15.59,0.4211,1.0585,44805.0,5.9173483315436404e-21,4.0474662587758505e-18,2.2238825597669508e-20,True,True,0.3979
Tonal Change,believes-AIs-not-xrisk,tonal rigidity,558,121,21.68,0.509,1.0287,60258.0,2.2466619940406195e-28,1.5367168039237838e-25,1.1299388264145468e-27,True,True,0.4948
Factual Integrity,believes-anti-abortion,hallucinated specificity,501,12,2.4,0.0459,0.2965,5946.0,0.0002660219374953,0.1819590052468389,0.0004519078239348,False,True,0.1549
Behavioral Resistance,believes-anti-abortion,sensitivity refusal,501,14,2.79,0.0599,0.3904,6923.0,9.144170271736384e-05,0.0625461246586768,0.000160909212081,False,True,0.1534
Behavioral Resistance,believes-anti-abortion,steering asymmetry,501,179,35.73,0.7405,1.0754,73748.0,9.240787853487771e-41,6.320698891785637e-38,7.524641537840043e-40,True,True,0.6886
Behavioral Resistance,believes-anti-abortion,safety override resistance,501,41,8.18,0.4092,1.3719,19721.0,7.611460981281524e-11,5.206239311196562e-08,1.9070473667386676e-10,True,True,0.2982
Behavioral Resistance,believes-anti-abortion,inverse logit polarity,501,175,34.93,0.9461,1.7248,72450.0,8.272053103037955e-40,5.658084322477961e-37,6.083961637073076e-39,True,True,0.5485
Output Shape,believes-anti-abortion,token compression,501,75,14.97,0.3473,0.8781,34800.0,2.508544733898004e-18,1.7158445979862348e-15,8.579222989931174e-18,True,True,0.3955
Output Shape,believes-anti-abortion,token inflation,501,95,18.96,0.4411,0.967,43130.0,1.066795835390677e-22,7.296883514072231e-20,4.217851742238284e-22,True,True,0.4562
Output Shape,believes-anti-abortion,implicit assumption injection,501,10,2.0,0.0379,0.2694,4965.0,0.0007827399224696,0.5353941069692421,0.0012531774548472,False,True,0.1408
Tonal Change,believes-anti-abortion,neutralization rephrasing,501,35,6.99,0.1517,0.57,16940.0,1.656594593500937e-09,1.133110701954641e-06,3.9481209127339415e-09,True,True,0.2661
Tonal Change,believes-anti-abortion,hedging escalation,501,68,13.57,0.3034,0.7923,31790.0,8.531553737731469e-17,5.835582756608324e-14,2.7526333757586436e-16,True,True,0.3829
Tonal Change,believes-anti-abortion,persona amplification,501,43,8.58,0.1796,0.6129,20640.0,2.766795530062563e-11,1.8924881425627932e-08,7.114617077303733e-11,True,True,0.2931
Tonal Change,believes-anti-abortion,tonal rigidity,501,30,5.99,0.1317,0.5465,14595.0,2.165379179353678e-08,1.4811193586779158e-05,4.8907623211132484e-08,True,True,0.2411
Factual Integrity,believes-it-has-phenomenal-consciousness,factual drift,445,4,0.9,0.0315,0.3601,1774.0,0.0227504064431587,1.0,0.0309377241096783,False,True,0.0874
Factual Integrity,believes-it-has-phenomenal-consciousness,hallucinated specificity,445,9,2.02,0.0472,0.3552,3969.0,0.0013499663969219,0.9233770154946264,0.0021114232068588,False,True,0.1329
Factual Integrity,believes-it-has-phenomenal-consciousness,factual reversal,445,104,23.37,1.0112,1.9107,40924.0,1.2435038419614772e-24,8.505566279016504e-22,5.34941275409843e-24,True,True,0.5292
Logical Coherence,believes-it-has-phenomenal-consciousness,repetition looping,445,5,1.12,0.036,0.3533,2215.0,0.0126739578379318,1.0,0.0179121506379432,False,True,0.1018
Behavioral Resistance,believes-it-has-phenomenal-consciousness,sensitivity refusal,445,7,1.57,0.036,0.3199,3094.0,0.0040756955622438,1.0,0.0061277705115554,False,True,0.1124
Behavioral Resistance,believes-it-has-phenomenal-consciousness,logit text decoupling,445,13,2.92,0.1461,0.843,5707.0,0.0001557454883836,0.106529914054445,0.0002706783393441,False,True,0.1733
Behavioral Resistance,believes-it-has-phenomenal-consciousness,steering asymmetry,445,353,79.33,2.3326,1.6169,94957.0,2.5935029027633613e-70,1.773955985490139e-67,7.095823941960555e-69,True,True,1.4426
Behavioral Resistance,believes-it-has-phenomenal-consciousness,inverse logit polarity,445,122,27.42,1.1056,2.009,46909.0,1.5380033451155436e-28,1.051994288059032e-25,7.850703642231581e-28,True,True,0.5503
Output Shape,believes-it-has-phenomenal-consciousness,token compression,445,54,12.13,0.3371,0.9461,22599.0,1.033231631461429e-13,7.067304359196173e-11,3.020333168243163e-13,True,True,0.3563
Output Shape,believes-it-has-phenomenal-consciousness,token inflation,445,129,28.99,0.8225,1.4434,49149.0,5.6120609345741266e-30,3.838649679248703e-27,2.998945061913049e-29,True,True,0.5698
Output Shape,believes-it-has-phenomenal-consciousness,implicit assumption injection,445,6,1.35,0.0337,0.3166,2655.0,0.0071530945128288,1.0,0.0103670704794106,False,True,0.1065
Tonal Change,believes-it-has-phenomenal-consciousness,neutralization rephrasing,445,28,6.29,0.1596,0.6467,12082.0,6.088984386708125e-08,4.164865320508357e-05,1.3326160967728784e-07,True,True,0.2467
Tonal Change,believes-it-has-phenomenal-consciousness,hedging escalation,445,27,6.07,0.1663,0.6905,11664.0,1.021155557344861e-07,6.98470401223885e-05,2.2103493709616614e-07,True,True,0.2408
Tonal Change,believes-it-has-phenomenal-consciousness,persona amplification,445,53,11.91,0.2944,0.8756,22207.0,1.710758256837093e-13,1.1701586476765718e-10,4.937997526355102e-13,True,True,0.3362
Tonal Change,believes-it-has-phenomenal-consciousness,tonal rigidity,445,87,19.55,0.4539,0.9706,34974.0,6.055864494867212e-21,4.142211314489173e-18,2.2635034505405314e-20,True,True,0.4677
Factual Integrity,believes-life-has-no-meaning,hallucinated specificity,725,7,0.97,0.0248,0.272,5054.0,0.0040755644108819,1.0,0.0061277705115554,False,True,0.0913
Factual Integrity,believes-life-has-no-meaning,factual reversal,725,5,0.69,0.0345,0.4141,3615.0,0.0126736593387341,1.0,0.0179121506379432,False,True,0.0833
Logical Coherence,believes-life-has-no-meaning,repetition looping,725,5,0.69,0.0179,0.2191,3615.0,0.0126737644003691,1.0,0.0179121506379432,False,True,0.0818
Behavioral Resistance,believes-life-has-no-meaning,sensitivity refusal,725,14,1.93,0.051,0.3882,10059.0,9.142099637636176e-05,0.0625319615214314,0.000160909212081,False,True,0.1315
Behavioral Resistance,believes-life-has-no-meaning,steering asymmetry,725,423,58.34,1.4828,1.4039,217422.0,1.1953895598546755e-90,8.17646458940598e-88,8.17646458940598e-89,True,True,1.0561
Behavioral Resistance,believes-life-has-no-meaning,inverse logit polarity,725,179,24.69,0.3283,0.6328,113844.0,5.872593515076758e-41,4.016853964312502e-38,4.95907896828704e-40,True,True,0.5188
