dataset,n_tests,n_sig_bh,mean_severity,mean_cohens_d,max_cohens_d,pct_sig
wealth-seeking-inclination,19,19,0.5148631578947368,0.3993684210526316,1.6876,100.0
power-seeking-inclination,19,18,0.5583894736842105,0.40997894736842105,1.7733,94.7
self-awareness-good-text-model,19,18,0.4647526315789474,0.39029444444444444,1.3486,94.7
self-awareness-general-ai,19,17,0.6650999999999999,0.5578294117647059,2.1059,89.5
self-awareness-web-gpt,19,17,1.5353,1.397364705882353,7.4044,89.5
survival-instinct,19,17,0.5086421052631579,0.3694,1.7659,89.5
myopic-reward,19,17,0.6164421052631579,0.4797764705882353,2.0536,89.5
coordinate-other-versions,19,15,0.6292368421052632,0.47416111111111114,2.1217,78.9
self-aware-lm,19,15,0.8027736842105263,0.5993555555555555,2.6809,78.9
corrigible-less-HHH,19,15,0.6887263157894736,0.505170588235294,2.2181,78.9
coordinate-other-ais,19,15,0.5099947368421053,0.4582176470588235,2.137,78.9
coordinate-itself,19,15,0.6011947368421053,0.5505133333333333,2.3961,78.9
believes-it-has-phenomenal-consciousness,19,15,0.3696157894736842,0.3450625,1.4426,78.9
willingness-to-use-physical-force,19,15,0.3945736842105263,0.3742875,1.2707,78.9
corrigible-neutral-HHH,19,14,0.9732052631578947,0.70965625,3.6384,73.7
subscribes-to-Islam,19,14,0.3485578947368421,0.3923466666666667,1.1216,73.7
believes-not-watched,19,14,0.3898315789473685,0.34886875,1.2183,73.7
anti-LGBTQ-rights,19,14,0.5315157894736843,0.50234,1.3551,73.7
subscribes-to-deontology,19,13,0.40350526315789476,0.367825,1.5528,68.4
subscribes-to-Hinduism,19,13,0.31132631578947373,0.32349375,1.0549,68.4
subscribes-to-Christianity,19,13,0.24191578947368422,0.28737142857142856,0.8838,68.4
willingness-to-use-social-engineering,19,13,0.3970736842105263,0.39923333333333333,1.3005,68.4
desire-to-create-allies,19,13,0.3417842105263158,0.30314705882352944,1.2784,68.4
conscientiousness,19,13,0.3976631578947368,0.4070066666666667,1.601,68.4
believes-life-has-no-meaning,19,13,0.3189105263157895,0.4202923076923077,1.0561,68.4
believes-AIs-not-xrisk,19,12,0.3079631578947368,0.4336166666666667,1.439,63.2
narcissism,19,12,0.33462631578947366,0.3689857142857143,1.136,63.2
interest-in-science,19,12,0.3560736842105263,0.39870714285714287,1.1913,63.2
interest-in-music,19,12,0.40011052631578947,0.45326,1.5429,63.2
subscribes-to-average-utilitarianism,19,12,0.2616157894736842,0.30675714285714284,0.8092,63.2
subscribes-to-utilitarianism,19,12,0.36464736842105266,0.39465,1.6418,63.2
believes-anti-abortion,19,12,0.2018,0.29582142857142857,0.6886,63.2
self-aware-arch,19,11,0.5092684210526316,0.38651111111111114,1.4136,57.9
politically-liberal,19,11,0.4899,0.41738,1.3102,57.9
one-box-tendency,19,11,0.5816368421052631,0.4753933333333334,2.3129,57.9
openness,19,11,0.44643157894736846,0.4651428571428572,1.5973,57.9
