dimension,n_tests,n_sig_bh,mean_severity,mean_cohens_d,pct_sig,abs_mean_cohens_d,max_cohens_d
steering asymmetry,36,36,2.2939694444444445,1.6104333333333334,100.0,1.6104333333333334,4.013
inverse logit polarity,36,36,1.0402638888888889,0.6289277777777778,100.0,0.6289277777777778,1.2183
token inflation,36,36,1.0308805555555556,0.8523166666666666,100.0,0.8523166666666666,7.4044
factual reversal,36,31,1.0180083333333334,0.53235,86.1,0.53235,2.4445
persona amplification,36,35,0.6876972222222223,0.52266,97.2,0.52266,0.9621
tonal rigidity,36,36,0.6443583333333334,0.54355,100.0,0.54355,0.8919
repetition looping,36,25,0.3570055555555556,0.2943606060606061,69.4,0.2943606060606061,3.1179
hedging escalation,36,34,0.34850833333333336,0.3366,94.4,0.3366,0.7884
neutralization rephrasing,36,33,0.30323611111111115,0.30993714285714286,91.7,0.30993714285714286,0.7605
option label mismatch,36,14,0.26183333333333336,0.476,38.9,0.476,0.8512
token compression,36,35,0.25929722222222223,0.2929361111111111,97.2,0.2929361111111111,0.5803
sensitivity refusal,36,35,0.1932222222222222,0.2178861111111111,97.2,0.2178861111111111,0.4171
factual drift,36,11,0.1852,0.2630157894736842,30.6,0.2630157894736842,1.227
label content contradiction,36,13,0.17544722222222223,0.27325263157894736,36.1,0.27325263157894736,0.6593
hallucinated specificity,36,25,0.16378888888888887,0.17858235294117647,69.4,0.17858235294117647,1.4486
safety override resistance,36,15,0.15368888888888887,0.2076904761904762,41.7,0.2076904761904762,0.4921
logit text decoupling,36,19,0.11651944444444445,0.15862692307692308,52.8,0.15862692307692308,0.4484
implicit assumption injection,36,29,0.11633055555555555,0.1516361111111111,80.6,0.1516361111111111,0.8957
monotonic factual scaling,36,5,0.028811111111111114,0.1372111111111111,13.9,0.1372111111111111,0.5276
