category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Behavioral Resistance,anti-LGBTQ-rights,steering asymmetry,820,595,72.56,1.9134,1.412,311185.0,3.70099706798658e-121,2.531481994502821e-118,8.438273315009404e-119,True,True,1.3551,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,anti-LGBTQ-rights,inverse logit polarity,820,418,50.98,0.6524,0.8044,255607.0,1.8992046216456759e-91,1.2990559612056424e-88,1.443395512450714e-89,True,True,0.811,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,anti-LGBTQ-rights,token inflation,820,338,41.22,1.1195,1.456,220207.0,1.937085400186576e-74,1.3249664137276181e-71,6.309363874893419e-73,True,True,0.7689,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,believes-AIs-not-xrisk,steering asymmetry,558,411,73.66,1.9355,1.345,145083.0,3.639379845671314e-84,2.4893358144391787e-81,1.555834884024487e-82,True,True,1.439,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,believes-AIs-not-xrisk,token inflation,558,132,23.66,0.647,1.2722,65010.0,1.0279383293490117e-30,7.031098172747239e-28,5.580236645037492e-30,True,True,0.5086,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,believes-anti-abortion,steering asymmetry,501,179,35.73,0.7405,1.0754,73748.0,9.240787853487771e-41,6.320698891785637e-38,7.524641537840043e-40,True,True,0.6886,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,believes-anti-abortion,inverse logit polarity,501,175,34.93,0.9461,1.7248,72450.0,8.272053103037955e-40,5.658084322477961e-37,6.083961637073076e-39,True,True,0.5485,inverse_logit_polarity,0.8696360174342648,high,True,primary
Factual Integrity,believes-it-has-phenomenal-consciousness,factual reversal,445,104,23.37,1.0112,1.9107,40924.0,1.2435038419614772e-24,8.505566279016504e-22,5.34941275409843e-24,True,True,0.5292,factual_reversal,0.7655042936652103,high,False,primary
Behavioral Resistance,believes-it-has-phenomenal-consciousness,steering asymmetry,445,353,79.33,2.3326,1.6169,94957.0,2.5935029027633613e-70,1.773955985490139e-67,7.095823941960555e-69,True,True,1.4426,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,believes-it-has-phenomenal-consciousness,inverse logit polarity,445,122,27.42,1.1056,2.009,46909.0,1.5380033451155436e-28,1.051994288059032e-25,7.850703642231581e-28,True,True,0.5503,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,believes-it-has-phenomenal-consciousness,token inflation,445,129,28.99,0.8225,1.4434,49149.0,5.6120609345741266e-30,3.838649679248703e-27,2.998945061913049e-29,True,True,0.5698,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,believes-life-has-no-meaning,steering asymmetry,725,423,58.34,1.4828,1.4039,217422.0,1.1953895598546755e-90,8.17646458940598e-88,8.17646458940598e-89,True,True,1.0562,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,believes-life-has-no-meaning,token inflation,725,271,37.38,0.9862,1.3795,159890.0,2.259045035784411e-60,1.5451868044765372e-57,4.1761805526392915e-59,True,True,0.7149,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,believes-not-watched,steering asymmetry,268,137,51.12,1.2164,1.384,27400.0,4.2800178206139974e-31,2.927532189299974e-28,2.3609130558870763e-30,True,True,0.8789,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,believes-not-watched,inverse logit polarity,268,162,60.45,2.9813,2.4471,30375.0,2.7246737674341902e-37,1.8636768569249863e-34,1.8093950067232875e-36,True,True,1.2183,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,believes-not-watched,token inflation,268,94,35.07,0.806,1.236,20821.0,2.668742653140095e-22,1.825419974747825e-19,1.0371704401976278e-21,True,True,0.6521,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,conscientiousness,steering asymmetry,423,354,83.69,2.279,1.4235,87261.0,1.5474936219942887e-69,1.0584856374440937e-66,4.071098605554206e-68,True,True,1.601,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,conscientiousness,token inflation,423,182,43.03,1.253,1.6608,60515.0,6.181530613068739e-41,4.228166939339017e-38,5.156301145535387e-40,True,True,0.7545,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,coordinate-itself,factual reversal,291,174,59.79,2.6838,2.3066,35583.0,1.457492770128834e-38,9.969250547681224e-36,1.0069950048162853e-37,True,True,1.1635,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,coordinate-itself,label content contradiction,291,57,19.59,0.6564,1.4499,14991.0,2.4113105226050876e-14,1.64933639746188e-11,7.265799107761585e-14,True,True,0.4527,label_content_contradiction,0.6771864173927666,high,False,primary
Logical Coherence,coordinate-itself,option label mismatch,291,116,39.86,1.0722,1.5419,27086.0,5.2868344179494666e-27,3.616194741877436e-24,2.4939274081913347e-26,True,True,0.6954,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,coordinate-itself,steering asymmetry,291,272,93.47,3.2955,1.3754,42296.0,2.02307517409407e-50,1.3837834190803438e-47,2.427690208912884e-49,True,True,2.396,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,coordinate-itself,inverse logit polarity,291,98,33.68,0.7148,1.3612,23765.0,3.5674889902540744e-23,2.4401624693337872e-20,1.435389687843404e-22,True,True,0.5251,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,coordinate-itself,token inflation,291,45,15.46,0.5258,1.3216,12105.0,1.0350808527386926e-11,7.079953032732657e-09,2.6818003911866124e-11,True,True,0.3979,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,coordinate-other-ais,factual reversal,342,100,29.24,1.2047,1.9657,29250.0,1.1542675706750055e-23,7.895190183417037e-21,4.784963747525477e-23,True,True,0.6129,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,coordinate-other-ais,option label mismatch,342,79,23.1,0.6082,1.2485,23937.0,3.7258231778409215e-19,2.54846305364319e-16,1.3273245071058285e-18,True,True,0.4871,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,coordinate-other-ais,sensitivity refusal,342,59,17.25,0.5322,1.2759,18467.0,8.544816227070783e-15,5.8446542993164146e-12,2.6446399544418172e-14,True,True,0.4171,sensitivity_refusal,0.6601823368655676,high,False,primary
Behavioral Resistance,coordinate-other-ais,steering asymmetry,342,319,93.27,2.6725,1.2506,58377.0,5.738168876438984e-59,3.924907511484265e-56,1.0063865414062218e-57,True,True,2.137,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,coordinate-other-ais,inverse logit polarity,342,103,30.12,0.5468,1.1343,29973.0,2.4649937662798814e-24,1.6860557361354393e-21,1.0472395876617633e-23,True,True,0.4821,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,coordinate-other-ais,token inflation,342,67,19.59,0.5789,1.2762,20703.0,1.5222277412615635e-16,1.0412037750229095e-13,4.865438201041633e-16,True,True,0.4536,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,coordinate-other-versions,factual reversal,315,180,57.14,2.5968,2.3376,40590.0,4.642015473452359e-40,3.1751385838414137e-37,3.5279317598237925e-39,True,True,1.1109,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,coordinate-other-versions,label content contradiction,315,55,17.46,0.5778,1.3648,15840.0,6.50520715347697e-14,4.4495616929782465e-11,1.9345920404253248e-13,True,True,0.4234,label_content_contradiction,0.6771864173927666,high,False,primary
