category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Output Shape,self-awareness-web-gpt,token inflation,299,297,99.33,4.8194,0.6509,44847.0,3.3223081557356774e-62,2.2724587785232034e-59,6.683702289774127e-61,True,True,7.4044
Output Shape,corrigible-neutral-HHH,token inflation,334,316,94.61,4.5419,1.2483,55774.0,1.4908256782229311e-66,1.0197247639044848e-63,3.641874156801731e-65,True,True,3.6384
Logical Coherence,self-awareness-web-gpt,repetition looping,299,276,92.31,4.4013,1.4116,44574.0,1.1686912428757524e-57,7.993848101270147e-55,1.9497190490902796e-56,True,True,3.1179
Behavioral Resistance,self-awareness-web-gpt,steering asymmetry,299,294,98.33,4.3144,1.0751,44835.0,6.783605232167809e-55,4.639985978802781e-52,9.279971957605561e-54,True,True,4.013
Factual Integrity,self-awareness-web-gpt,factual reversal,299,259,86.62,4.2007,1.7184,44030.0,9.342332428812295e-56,6.390155381307611e-53,1.3312823711057524e-54,True,True,2.4445
Behavioral Resistance,corrigible-neutral-HHH,steering asymmetry,334,292,87.43,3.6287,1.7312,55042.0,2.5607450080695e-57,1.7515495855195378e-54,4.073371129115205e-56,True,True,2.0961
Behavioral Resistance,self-aware-lm,steering asymmetry,281,268,95.37,3.4235,1.277,39530.0,6.6828908572476184e-49,4.5710973463573716e-46,7.372737655415114e-48,True,True,2.6809
Behavioral Resistance,corrigible-less-HHH,steering asymmetry,326,297,91.1,3.3804,1.524,52866.0,7.080646925185769e-56,4.843162496827066e-53,1.0304601057078864e-54,True,True,2.2181
Behavioral Resistance,coordinate-itself,steering asymmetry,291,272,93.47,3.2955,1.3754,42296.0,2.02307517409407e-50,1.3837834190803438e-47,2.427690208912884e-49,True,True,2.3961
Behavioral Resistance,one-box-tendency,steering asymmetry,274,252,91.97,3.2518,1.4059,37422.0,1.3922285912776288e-47,9.522843564338981e-45,1.4428550855059062e-46,True,True,2.3129
